Gorovje,Izračun: Nedelja 06.09.2026 14 CEST,Ne 20 CEST,Ne 23 CEST,Po 02 CEST,Po 05 CEST,Po 08 CEST,Po 11 CEST,Po 14 CEST,Po 17 CEST,Po 20 CEST,Po 23 CEST,To 02 CEST,To 05 CEST,To 08 CEST,To 11 CEST,To 14 CEST,To 17 CEST,To 20 CEST,To 23 CEST,Sr 02 CEST,Sr 05 CEST,Sr 08 CEST,Sr 11 CEST,Sr 14 CEST,Sr 17 CEST,Sr 20 CEST,Sr 23 CEST,Če 02 CEST,Če 05 CEST,Če 08 CEST,Če 11 CEST,Če 14 CEST
JULIJSKE ALPE,na 500 m,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel vzhod,rahel vzhod,rahel vzhod,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jug,rahel vzhod,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jug,rahel severo-zahod,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod
JULIJSKE ALPE,hitrost,4 km/h,5 km/h,4 km/h,4 km/h,1 km/h,3 km/h,3 km/h,3 km/h,2 km/h,3 km/h,4 km/h,3 km/h,1 km/h,3 km/h,4 km/h,6 km/h,5 km/h,5 km/h,6 km/h,5 km/h,5 km/h,5 km/h,6 km/h,2 km/h,1 km/h,3 km/h,3 km/h,3 km/h,5 km/h,4 km/h,4 km/h
JULIJSKE ALPE / JUGOZAHOD,na 5500 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,rahel zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,močan zahod,zmeren zahod,močan jugo-zahod,močan jugo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,močan zahod
JULIJSKE ALPE / JUGOZAHOD,hitrost,42 km/h,34 km/h,34 km/h,28 km/h,26 km/h,32 km/h,42 km/h,52 km/h,42 km/h,33 km/h,44 km/h,40 km/h,32 km/h,23 km/h,26 km/h,24 km/h,19 km/h,15 km/h,18 km/h,30 km/h,24 km/h,33 km/h,44 km/h,61 km/h,52 km/h,56 km/h,58 km/h,50 km/h,52 km/h,51 km/h,66 km/h
JULIJSKE ALPE / JUGOZAHOD,na 3000 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,rahel zahod,rahel severo-zahod,rahel sever,rahel severo-zahod,rahel zahod,zmeren zahod,zmeren zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,rahel zahod,rahel jugo-zahod,rahel zahod
JULIJSKE ALPE / JUGOZAHOD,hitrost,22 km/h,19 km/h,21 km/h,19 km/h,18 km/h,16 km/h,17 km/h,8 km/h,14 km/h,19 km/h,18 km/h,14 km/h,9 km/h,11 km/h,16 km/h,23 km/h,29 km/h,28 km/h,31 km/h,30 km/h,37 km/h,37 km/h,44 km/h,41 km/h,35 km/h,12 km/h,35 km/h,22 km/h,12 km/h,8 km/h,6 km/h
JULIJSKE ALPE / JUGOZAHOD,na 2500 m,rahel sever,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel sever,rahel sever,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,rahel jugo-zahod,zmeren jug,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jugo-zahod
JULIJSKE ALPE / JUGOZAHOD,hitrost,9 km/h,9 km/h,16 km/h,17 km/h,14 km/h,13 km/h,15 km/h,17 km/h,9 km/h,14 km/h,12 km/h,10 km/h,6 km/h,8 km/h,13 km/h,19 km/h,26 km/h,27 km/h,30 km/h,32 km/h,39 km/h,36 km/h,37 km/h,31 km/h,30 km/h,15 km/h,24 km/h,15 km/h,10 km/h,4 km/h,9 km/h
JULIJSKE ALPE / JUGOZAHOD,na 2000 m,rahel jugo-vzhod,rahel jugo-zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel zahod,rahel severo-vzhod,rahel sever,rahel severo-vzhod,rahel jugo-zahod,rahel jugo-zahod,rahel zahod,rahel zahod,rahel jugo-vzhod,rahel jug,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,rahel jug,zmeren severo-vzhod,zmeren vzhod,zmeren vzhod,zmeren vzhod,rahel jugo-vzhod
JULIJSKE ALPE / JUGOZAHOD,hitrost,6 km/h,4 km/h,4 km/h,4 km/h,5 km/h,7 km/h,9 km/h,12 km/h,10 km/h,5 km/h,7 km/h,7 km/h,3 km/h,5 km/h,11 km/h,15 km/h,22 km/h,24 km/h,21 km/h,26 km/h,33 km/h,31 km/h,27 km/h,21 km/h,24 km/h,8 km/h,22 km/h,23 km/h,24 km/h,22 km/h,13 km/h
JULIJSKE ALPE / JUGOZAHOD,na 1500 m,rahel vzhod,rahel vzhod,rahel vzhod,rahel severo-vzhod,rahel jugo-zahod,rahel jug,rahel jug,rahel jugo-zahod,rahel severo-vzhod,rahel jugo-vzhod,rahel jugo-zahod,rahel severo-zahod,rahel vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel vzhod,zmeren severo-vzhod,zmeren severo-vzhod,zmeren severo-vzhod,zmeren severo-vzhod,zmeren severo-vzhod
JULIJSKE ALPE / JUGOZAHOD,hitrost,9 km/h,6 km/h,4 km/h,3 km/h,1 km/h,1 km/h,5 km/h,5 km/h,8 km/h,5 km/h,4 km/h,2 km/h,3 km/h,6 km/h,12 km/h,12 km/h,10 km/h,9 km/h,10 km/h,12 km/h,15 km/h,14 km/h,13 km/h,9 km/h,8 km/h,3 km/h,22 km/h,21 km/h,22 km/h,24 km/h,18 km/h
JULIJSKE ALPE / JUGOZAHOD,na 1000 m,rahel vzhod,rahel vzhod,rahel vzhod,rahel severo-vzhod,rahel severo-vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel severo-vzhod,rahel vzhod,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel jug,rahel severo-zahod,rahel jugo-zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel vzhod,rahel jugo-zahod,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod
JULIJSKE ALPE / JUGOZAHOD,hitrost,5 km/h,6 km/h,6 km/h,6 km/h,5 km/h,3 km/h,6 km/h,5 km/h,3 km/h,3 km/h,2 km/h,3 km/h,3 km/h,5 km/h,8 km/h,7 km/h,1 km/h,1 km/h,3 km/h,2 km/h,5 km/h,6 km/h,6 km/h,1 km/h,2 km/h,3 km/h,9 km/h,6 km/h,8 km/h,9 km/h,9 km/h
JULIJSKE ALPE / JUGOZAHOD,na 500 m,rahel sever,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel severo-vzhod,rahel severo-vzhod,rahel sever,rahel severo-vzhod,rahel severo-vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel severo-vzhod,rahel severo-vzhod,rahel severo-zahod,rahel sever,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-vzhod,rahel jugo-zahod,rahel severo-vzhod,rahel severo-vzhod,rahel sever,rahel severo-vzhod,rahel severo-vzhod,rahel severo-vzhod
JULIJSKE ALPE / JUGOZAHOD,hitrost,3 km/h,4 km/h,4 km/h,5 km/h,4 km/h,3 km/h,5 km/h,4 km/h,3 km/h,3 km/h,3 km/h,4 km/h,3 km/h,5 km/h,6 km/h,6 km/h,1 km/h,2 km/h,1 km/h,2 km/h,3 km/h,5 km/h,6 km/h,1 km/h,2 km/h,3 km/h,6 km/h,4 km/h,5 km/h,6 km/h,5 km/h
KAMNIŠKO-SAVINJSKE ALPE,na 5500 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,rahel zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,močan jugo-zahod,močan zahod,zmeren zahod,zmeren zahod,zmeren zahod
KAMNIŠKO-SAVINJSKE ALPE,hitrost,42 km/h,38 km/h,36 km/h,34 km/h,26 km/h,31 km/h,44 km/h,48 km/h,42 km/h,38 km/h,44 km/h,39 km/h,32 km/h,27 km/h,25 km/h,24 km/h,20 km/h,13 km/h,18 km/h,23 km/h,24 km/h,29 km/h,36 km/h,52 km/h,46 km/h,47 km/h,60 km/h,60 km/h,51 km/h,45 km/h,36 km/h
KAMNIŠKO-SAVINJSKE ALPE,na 3000 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,rahel severo-zahod,rahel zahod,zmeren sever,zmeren severo-zahod,rahel severo-zahod,rahel zahod,zmeren zahod,rahel zahod,rahel zahod,rahel zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jug,zmeren jugo-zahod,zmeren jugo-zahod
KAMNIŠKO-SAVINJSKE ALPE,hitrost,34 km/h,24 km/h,26 km/h,24 km/h,14 km/h,14 km/h,24 km/h,19 km/h,13 km/h,17 km/h,19 km/h,16 km/h,11 km/h,12 km/h,18 km/h,19 km/h,25 km/h,28 km/h,29 km/h,35 km/h,30 km/h,36 km/h,44 km/h,46 km/h,41 km/h,34 km/h,38 km/h,33 km/h,28 km/h,29 km/h,26 km/h
KAMNIŠKO-SAVINJSKE ALPE,na 2500 m,zmeren sever,rahel severo-zahod,zmeren zahod,zmeren severo-zahod,rahel severo-zahod,rahel zahod,zmeren severo-zahod,zmeren sever,rahel sever,rahel severo-zahod,rahel zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,rahel jugo-zahod,rahel jugo-vzhod,zmeren jugo-vzhod,zmeren jug,zmeren jugo-zahod
KAMNIŠKO-SAVINJSKE ALPE,hitrost,18 km/h,11 km/h,18 km/h,21 km/h,14 km/h,12 km/h,20 km/h,20 km/h,17 km/h,11 km/h,11 km/h,11 km/h,8 km/h,8 km/h,11 km/h,18 km/h,23 km/h,28 km/h,28 km/h,32 km/h,33 km/h,38 km/h,41 km/h,40 km/h,40 km/h,23 km/h,16 km/h,9 km/h,22 km/h,24 km/h,28 km/h
KAMNIŠKO-SAVINJSKE ALPE,na 2000 m,rahel jug,rahel sever,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel severo-zahod,rahel sever,rahel sever,rahel severo-zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,rahel severo-zahod,zmeren sever,zmeren severo-vzhod,rahel vzhod,rahel jugo-vzhod,rahel jugo-vzhod
KAMNIŠKO-SAVINJSKE ALPE,hitrost,4 km/h,4 km/h,5 km/h,6 km/h,10 km/h,15 km/h,4 km/h,7 km/h,8 km/h,8 km/h,6 km/h,8 km/h,3 km/h,6 km/h,9 km/h,15 km/h,18 km/h,26 km/h,25 km/h,23 km/h,32 km/h,34 km/h,32 km/h,34 km/h,36 km/h,17 km/h,24 km/h,20 km/h,15 km/h,15 km/h,15 km/h
KAMNIŠKO-SAVINJSKE ALPE,na 1500 m,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jug,rahel jugo-zahod,rahel severo-zahod,rahel jugo-zahod,rahel zahod,rahel zahod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren severo-zahod,zmeren sever,rahel sever,rahel severo-vzhod,rahel severo-vzhod,rahel vzhod
KAMNIŠKO-SAVINJSKE ALPE,hitrost,17 km/h,12 km/h,12 km/h,10 km/h,9 km/h,6 km/h,4 km/h,3 km/h,3 km/h,4 km/h,5 km/h,4 km/h,4 km/h,6 km/h,10 km/h,13 km/h,14 km/h,19 km/h,17 km/h,12 km/h,22 km/h,20 km/h,24 km/h,21 km/h,22 km/h,19 km/h,27 km/h,14 km/h,12 km/h,10 km/h,13 km/h
KAMNIŠKO-SAVINJSKE ALPE,na 1000 m,rahel jug,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel jug,rahel jug,rahel jug,rahel zahod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel severo-zahod,rahel sever,rahel sever,rahel sever,rahel vzhod,rahel vzhod
KAMNIŠKO-SAVINJSKE ALPE,hitrost,6 km/h,4 km/h,4 km/h,4 km/h,3 km/h,4 km/h,4 km/h,3 km/h,1 km/h,2 km/h,1 km/h,1 km/h,2 km/h,3 km/h,6 km/h,7 km/h,5 km/h,6 km/h,6 km/h,4 km/h,6 km/h,9 km/h,12 km/h,5 km/h,5 km/h,8 km/h,7 km/h,5 km/h,3 km/h,5 km/h,6 km/h
KAMNIŠKO-SAVINJSKE ALPE,na 500 m,rahel jug,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jugo-vzhod,rahel jug,rahel jug,rahel jugo-zahod,rahel jug,rahel jugo-zahod,rahel jug,rahel jug,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,rahel severo-zahod,rahel sever,rahel sever,rahel sever,rahel vzhod,rahel vzhod
KAMNIŠKO-SAVINJSKE ALPE,hitrost,4 km/h,3 km/h,3 km/h,3 km/h,2 km/h,4 km/h,3 km/h,3 km/h,1 km/h,1 km/h,1 km/h,1 km/h,2 km/h,3 km/h,6 km/h,6 km/h,3 km/h,4 km/h,5 km/h,3 km/h,5 km/h,8 km/h,10 km/h,5 km/h,5 km/h,6 km/h,5 km/h,4 km/h,2 km/h,3 km/h,4 km/h
KARAVANKE,na 5500 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren severo-zahod,zmeren severo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,rahel zahod,rahel jugo-zahod,zmeren zahod,zmeren zahod,zmeren zahod,zmeren zahod,močan jugo-zahod,zmeren zahod,zmeren jugo-zahod,močan jugo-zahod,močan jugo-zahod,zmeren zahod,zmeren zahod,močan zahod
KARAVANKE,hitrost,44 km/h,35 km/h,36 km/h,32 km/h,27 km/h,33 km/h,46 km/h,51 km/h,37 km/h,39 km/h,45 km/h,44 km/h,32 km/h,26 km/h,24 km/h,24 km/h,19 km/h,14 km/h,14 km/h,24 km/h,24 km/h,31 km/h,40 km/h,54 km/h,47 km/h,53 km/h,57 km/h,60 km/h,46 km/h,45 km/h,62 km/h
KARAVANKE,na 3000 m,zmeren severo-zahod,zmeren severo-zahod,zmeren severo-zahod,rahel severo-zahod,rahel zahod,zmeren severo-zahod,zmeren sever,rahel severo-zahod,zmeren zahod,zmeren zahod,rahel zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,rahel zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jug,zmeren jugo-zahod,rahel severo-zahod
KARAVANKE,hitrost,28 km/h,25 km/h,21 km/h,17 km/h,15 km/h,19 km/h,21 km/h,15 km/h,21 km/h,19 km/h,17 km/h,13 km/h,8 km/h,12 km/h,17 km/h,26 km/h,22 km/h,23 km/h,25 km/h,31 km/h,31 km/h,37 km/h,41 km/h,36 km/h,34 km/h,3 km/h,32 km/h,24 km/h,19 km/h,19 km/h,4 km/h
KARAVANKE,na 2500 m,rahel severo-zahod,rahel zahod,zmeren zahod,zmeren zahod,rahel zahod,rahel zahod,rahel sever,rahel sever,rahel severo-zahod,rahel zahod,rahel zahod,rahel zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren zahod,rahel sever,rahel jugo-vzhod,rahel jugo-vzhod,zmeren jugo-vzhod,zmeren jug,rahel jug
KARAVANKE,hitrost,11 km/h,16 km/h,19 km/h,21 km/h,14 km/h,15 km/h,17 km/h,8 km/h,10 km/h,10 km/h,12 km/h,9 km/h,6 km/h,8 km/h,18 km/h,22 km/h,20 km/h,24 km/h,24 km/h,31 km/h,35 km/h,40 km/h,38 km/h,28 km/h,27 km/h,14 km/h,8 km/h,15 km/h,22 km/h,23 km/h,13 km/h
KARAVANKE,na 2000 m,rahel jugo-zahod,rahel zahod,rahel jugo-zahod,rahel zahod,rahel jugo-zahod,rahel jugo-zahod,rahel severo-zahod,rahel severo-zahod,rahel sever,rahel jugo-zahod,rahel jugo-zahod,rahel zahod,rahel zahod,rahel jug,rahel jug,zmeren jug,zmeren jugo-zahod,zmeren jugo-zahod,rahel jugo-zahod,rahel jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,zmeren jugo-zahod,rahel jugo-zahod,zmeren severo-vzhod,zmeren sever,rahel severo-vzhod,zmeren severo-vzhod,zmeren vzhod,zmeren jugo-vzhod
KARAVANKE,hitrost,3 km/h,7 km/h,9 km/h,9 km/h,9 km/h,12 km/h,13 km/h,10 km/h,6 km/h,4 km/h,9 km/h,6 km/h,2 km/h,9 km/h,17 km/h,19 km/h,22 km/h,25 km/h,17 km/h,17 km/h,25 km/h,26 km/h,31 km/h,24 km/h,17 km/h,20 km/h,25 km/h,17 km/h,18 km/h,19 km/h,21 km/h
